language,Glottocode,iso 639-3,familyGeneral,familySpecific,Macroarea,meaning,word,length,phonemeRepW2letters
Pyu,pyuu1245,pby,other,other,Papunesia,big,ole,3,0
Pyu,pyuu1245,pby,other,other,Papunesia,small,s3g3mi,6,0
Qaget,qaqe1238,byx,other,other,Papunesia,big,s3lur3ka,8,0
Qaget,qaqe1238,byx,other,other,Papunesia,small,gilka,5,0
Qanjobal Santa Eulalia,qanj1241,kjb,Mayan,WesternMayan,NorthAmerica,big,miman,5,0
Qanjobal Santa Eulalia,qanj1241,kjb,Mayan,WesternMayan,NorthAmerica,small,yaliS,5,0
Quechua Pastaza,sout2990,qup,other,other,SouthAmerica,big,atun,4,0
Quechua Pastaza,sout2990,qup,other,other,SouthAmerica,small,uCiLa,5,0
Quinault,quin1251,qun,Salishan,Tsamosan,NorthAmerica,big,luL,3,0
Quinault,quin1251,qun,Salishan,Tsamosan,NorthAmerica,small,xX3qw,5,1
Rama,rama1270,rma,Chibchan,Chibchan,NorthAmerica,small,psuttiskama,11,0
Rama,rama1270,rma,Chibchan,Chibchan,NorthAmerica,big,tatara,6,0
Rao 3,raoo1244,rao,Lower Sepik Ramu,Ramu,Papunesia,big,t3pund3,7,0
Rao 3,raoo1244,rao,Lower Sepik Ramu,Ramu,Papunesia,small,sakwoli,7,0
Rarotongan 2,raro1241,rar,Austronesian,Central-EasternMalayo-Polynesian,Papunesia,big,ma7ata,6,0
Rarotongan 2,raro1241,rar,Austronesian,Central-EasternMalayo-Polynesian,Papunesia,small,meaNiti,7,0
Rennellese,renn1242,mnv,Austronesian,Central-EasternMalayo-Polynesian,Papunesia,big,hua7eha,7,0
Rennellese,renn1242,mnv,Austronesian,Central-EasternMalayo-Polynesian,Papunesia,small,boboko,6,0
Resigaro,resi1247,rgr,Arawakan,Arawakan,SouthAmerica,big,jija,4,0
Resigaro,resi1247,rgr,Arawakan,Arawakan,SouthAmerica,small,ojaja7,6,0
Romanian 3,roma1327,ron,Indo-European,Italic,Eurasia,big,mare,4,0
Romanian 3,roma1327,ron,Indo-European,Italic,Eurasia,small,mik,3,0
Romkun,romk1240,rmk,Lower Sepik Ramu,Ramu,Papunesia,big,Emk3,4,0
Romkun,romk1240,rmk,Lower Sepik Ramu,Ramu,Papunesia,small,muiNk3ta,8,0
Rotuman 2,rotu1241,rtm,Austronesian,Central-EasternMalayo-Polynesian,Papunesia,big,ti7u,4,0
Rotuman 2,rotu1241,rtm,Austronesian,Central-EasternMalayo-Polynesian,Papunesia,small,mea7me7a,8,0
Roviana,rovi1238,rug,Austronesian,Central-EasternMalayo-Polynesian,Papunesia,big,noma,4,0
Roviana,rovi1238,rug,Austronesian,Central-EasternMalayo-Polynesian,Papunesia,small,noma,4,0
Ruc,chut1247,scb,Austroasiatic,Vietic,Eurasia,big,m3am,4,0
Ruc,chut1247,scb,Austroasiatic,Vietic,Eurasia,small,dEdE,4,0
Russian,russ1263,rus,Indo-European,Balto-Slavic,Eurasia,big,bolySoy,7,1
Russian,russ1263,rus,Indo-European,Balto-Slavic,Eurasia,small,malyEnykyiy,11,3
S Sierra Miwok,sout2985,skd,other,other,NorthAmerica,big,oyani,5,0
S Sierra Miwok,sout2985,skd,other,other,NorthAmerica,small,Cinipi,6,0
Saanich,stra1244,str,Salishan,CentralSalish,NorthAmerica,small,m3mim3n,7,0
Saanich,stra1244,str,Salishan,CentralSalish,NorthAmerica,big,C3q,3,0
Saberi,isir1237,srl,Greater Kwerba,Greater Kwerba,Papunesia,big,wisu,4,0
Saberi,isir1237,srl,Greater Kwerba,Greater Kwerba,Papunesia,small,k3nana,6,0
Sacapulteco Sacapulas Centro,saca1238,quv,Mayan,Quichean-Mamean,NorthAmerica,small,Caten,5,0
Sacapulteco Sacapulas Centro,saca1238,quv,Mayan,Quichean-Mamean,NorthAmerica,big,nim,3,0
Safen 2,saaf1238,sav,Atlantic-Congo,NorthAtlantic,Africa,big,hut,3,0
Safen 2,saaf1238,sav,Atlantic-Congo,NorthAtlantic,Africa,small,yin,3,0
Sakha 2,yaku1245,sah,Turkic,CommonTurkic,Eurasia,big,bedeN,5,0
Sakha 2,yaku1245,sah,Turkic,CommonTurkic,Eurasia,small,kur,3,0
Saliba Columbia,sali1298,slc,other,other,SouthAmerica,big,wodi,4,0
Saliba Columbia,sali1298,slc,other,other,SouthAmerica,small,isbahe,6,0
Salt Yui,salt1242,sll,Nuclear Trans New Guinea,Chimbu-Wahgi,Papunesia,big,bir,3,0
Salt Yui,salt1242,sll,Nuclear Trans New Guinea,Chimbu-Wahgi,Papunesia,small,migi,4,0
Samoan,samo1305,smo,Austronesian,Central-EasternMalayo-Polynesian,Papunesia,big,tele,4,0
Samoan,samo1305,smo,Austronesian,Central-EasternMalayo-Polynesian,Papunesia,small,la7ititi,8,0
San Martin Peras Mixtec,west2643,jmx,Otomanguean,EasternOtomanguean,NorthAmerica,big,ka7nu,5,0
San Martin Peras Mixtec,west2643,jmx,Otomanguean,EasternOtomanguean,NorthAmerica,small,lo7o,4,0
San Pedro Ixcatlan,ixca1246,mzi,Otomanguean,EasternOtomanguean,NorthAmerica,big,ce,2,0
San Pedro Ixcatlan,ixca1246,mzi,Otomanguean,EasternOtomanguean,NorthAmerica,small,CiCi,4,0
Sango 2,sang1328,sag,Atlantic-Congo,NorthVolta-Congo,Africa,big,yongolo,7,0
Sango 2,sang1328,sag,Atlantic-Congo,NorthVolta-Congo,Africa,small,kEtE,4,0
Sangu,sang1330,sbp,Atlantic-Congo,Benue-Congo,Africa,big,l3,2,0
Sangu,sang1330,sbp,Atlantic-Congo,Benue-Congo,Africa,small,debe,4,0
Sanio,sani1270,sny,Sepik,SepikHill,Papunesia,big,rasi,4,0
Sanio,sani1270,sny,Sepik,SepikHill,Papunesia,small,3swa7i,6,0
Sanuma,sanu1240,xsu,other,other,SouthAmerica,big,pata,4,0
Sanuma,sanu1240,xsu,other,other,SouthAmerica,small,wini,4,0
Savosavo,savo1255,svs,other,other,Papunesia,big,Nai,3,0
Savosavo,savo1255,svs,other,other,Papunesia,small,5ari,4,0
Sayula Popoluca,sayu1241,pos,Mixe-Zoque,Mixe,NorthAmerica,big,m3h,3,0
Sayula Popoluca,sayu1241,pos,Mixe-Zoque,Mixe,NorthAmerica,small,CiCik,5,0
Sechelt,sech1246,sec,Salishan,CentralSalish,NorthAmerica,big,ti,2,0
Sechelt,sech1246,sec,Salishan,CentralSalish,NorthAmerica,small,cuciy,5,0
Sedang,seda1262,sed,Austroasiatic,Bahnaric,Eurasia,big,kan,3,0
Sedang,seda1262,sed,Austroasiatic,Bahnaric,Eurasia,small,toSin,5,0
Sediq,taro1264,trv,Austronesian,Atayalic,Papunesia,big,paru7,5,0
Sediq,taro1264,trv,Austronesian,Atayalic,Papunesia,small,ti73,4,0
Selepet,sele1250,spl,Nuclear Trans New Guinea,Finisterre-Huon,Papunesia,big,pato,4,0
Selepet,sele1250,spl,Nuclear Trans New Guinea,Finisterre-Huon,Papunesia,small,tipiNe,6,0
Semai,sema1266,sea,Austroasiatic,Aslian,Eurasia,big,ntoy,4,1
Semai,sema1266,sea,Austroasiatic,Aslian,Eurasia,small,maCot,5,0
Sepen,sepe1240,spm,Lower Sepik Ramu,Ramu,Papunesia,big,barikevi,8,0
Sepen,sepe1240,spm,Lower Sepik Ramu,Ramu,Papunesia,small,sovi,4,0
Sepik Iwam,sepi1255,iws,Sepik,Iwam-Wogamus,Papunesia,big,komwi,5,0
Sepik Iwam,sepi1255,iws,Sepik,Iwam-Wogamus,Papunesia,small,sabasop,7,0
Serbocroatian,sout1528,hbs,Indo-European,Balto-Slavic,Eurasia,big,veliki,6,0
Serbocroatian,sout1528,hbs,Indo-European,Balto-Slavic,Eurasia,small,mali,4,0
Shiwa 2,kwas1243,nmg,Atlantic-Congo,Benue-Congo,Africa,big,n3nEni,6,0
Shiwa 2,kwas1243,nmg,Atlantic-Congo,Benue-Congo,Africa,small,twa7,4,0
Shuswap,shus1248,shs,Salishan,InteriorSalish,NorthAmerica,small,kwoyi7se,8,1
Shuswap,shus1248,shs,Salishan,InteriorSalish,NorthAmerica,big,xyum,4,0
Siane 2,sian1257,snp,Nuclear Trans New Guinea,Kainantu-Goroka,Papunesia,big,namba,5,0
Siane 2,sian1257,snp,Nuclear Trans New Guinea,Kainantu-Goroka,Papunesia,small,geho,4,0
Sika,sika1262,ski,Austronesian,Central-EasternMalayo-Polynesian,Papunesia,big,gete,4,0
Sika,sika1262,ski,Austronesian,Central-EasternMalayo-Polynesian,Papunesia,small,kesik,5,0
Silacayoapan Mixtec,sila1250,mks,Otomanguean,EasternOtomanguean,NorthAmerica,big,ka7ni,5,0
Silacayoapan Mixtec,sila1250,mks,Otomanguean,EasternOtomanguean,NorthAmerica,small,lo7o,4,0
Sinasina 3,sina1271,sst,Nuclear Trans New Guinea,Chimbu-Wahgi,Papunesia,big,ore,3,0
Sinasina 3,sina1271,sst,Nuclear Trans New Guinea,Chimbu-Wahgi,Papunesia,small,kebil,5,0
Sinaugoro,sina1266,snc,Austronesian,Central-EasternMalayo-Polynesian,Papunesia,big,barego,6,0
Sinaugoro,sina1266,snc,Austronesian,Central-EasternMalayo-Polynesian,Papunesia,small,kei,3,0
Sipakapense,sipa1247,qum,Mayan,Quichean-Mamean,NorthAmerica,small,nuC,3,0
Sipakapense,sipa1247,qum,Mayan,Quichean-Mamean,NorthAmerica,big,nim,3,0
Sisiqa,baba1268,baa,Austronesian,Central-EasternMalayo-Polynesian,Papunesia,big,p3u,3,0
Sisiqa,baba1268,baa,Austronesian,Central-EasternMalayo-Polynesian,Papunesia,small,soi,3,0
Skolt Saami 2,skol1241,sms,Uralic,Saami,Eurasia,small,utcy3,5,1
Skolt Saami 2,skol1241,sms,Uralic,Saami,Eurasia,big,Surra,5,0
Skou,nucl1634,skv,Sko,Sko,Papunesia,big,bapali,6,0
Skou,nucl1634,skv,Sko,Sko,Papunesia,small,hapa,4,0
Sliammon,como1259,coo,Salishan,CentralSalish,NorthAmerica,small,titul,5,0
Sliammon,como1259,coo,Salishan,CentralSalish,NorthAmerica,big,tih,3,0
Slovak 2,slov1269,slk,Indo-European,Balto-Slavic,Eurasia,big,vELki,5,0
Slovak 2,slov1269,slk,Indo-European,Balto-Slavic,Eurasia,small,maLi,4,0
Slovenian 2,slov1268,slv,Indo-European,Balto-Slavic,Eurasia,big,welik,5,0
Slovenian 2,slov1268,slv,Indo-European,Balto-Slavic,Eurasia,small,mayxEn,6,0
Soboyo,tali1262,tlv,Austronesian,Central-EasternMalayo-Polynesian,Papunesia,big,haya,4,0
Soboyo,tali1262,tlv,Austronesian,Central-EasternMalayo-Polynesian,Papunesia,small,mei,3,0
Som,somm1240,smc,Nuclear Trans New Guinea,Finisterre-Huon,Papunesia,big,m3reyi,6,0
Som,somm1240,smc,Nuclear Trans New Guinea,Finisterre-Huon,Papunesia,small,misiyi,6,0
Somali,soma1255,som,Afro-Asiatic,Cushitic,Africa,big,wen,3,0
Somali,soma1255,som,Afro-Asiatic,Cushitic,Africa,small,yar,3,0
Soninke 4,soni1259,snk,Mande,WesternMande,Africa,big,adarE,5,0
Soninke 4,soni1259,snk,Mande,WesternMande,Africa,small,fomise,6,0
Soteapan Zoque,high1276,poi,Mixe-Zoque,Zoque,NorthAmerica,small,Sutyu,5,1
Soteapan Zoque,high1276,poi,Mixe-Zoque,Zoque,NorthAmerica,big,m3h,3,0
Southern Cakchiquel San Andres Itzapa,kaqc1270,cak,Mayan,Quichean-Mamean,NorthAmerica,big,tix,3,0
Southern Cakchiquel San Andres Itzapa,kaqc1270,cak,Mayan,Quichean-Mamean,NorthAmerica,small,ko7ol,5,0
Southern Saami,sout2674,sma,Uralic,Saami,Eurasia,big,stuorE,6,0
Southern Saami,sout2674,sma,Uralic,Saami,Eurasia,small,unnE,4,0
Southern Yukaghir,sout2750,yux,Yukaghir,Yukaghir,Eurasia,big,Como,4,0
Southern Yukaghir,sout2750,yux,Yukaghir,Yukaghir,Eurasia,small,yuko,4,0
Spanish,stan1288,spa,Indo-European,Italic,Eurasia,big,grande,6,0
Spanish,stan1288,spa,Indo-European,Italic,Eurasia,small,peke5o,6,0
Spokane,spok1245,spo,Salishan,InteriorSalish,NorthAmerica,big,kwtun,5,1
Spokane,spok1245,spo,Salishan,InteriorSalish,NorthAmerica,small,kwuyum,6,1
Standard Albanian,alba1267,sqi,Indo-European,Albanian,Eurasia,big,ma8,3,0
Standard Albanian,alba1267,sqi,Indo-European,Albanian,Eurasia,small,vog3l,5,0
Standard Arabic 2,stan1318,arb,Afro-Asiatic,Semitic,Eurasia,small,soxir,5,0
Standard Arabic 2,stan1318,arb,Afro-Asiatic,Semitic,Eurasia,big,kabir,5,0
Standard German 2,stan1295,deu,Indo-European,Germanic,Eurasia,big,gXos,4,0
Standard German 2,stan1295,deu,Indo-European,Germanic,Eurasia,small,klain,5,0
Sudest,sude1239,tgo,Austronesian,Central-EasternMalayo-Polynesian,Papunesia,big,laxNye,6,0
Sudest,sude1239,tgo,Austronesian,Central-EasternMalayo-Polynesian,Papunesia,small,nasiye,6,0
Sundanese,sund1252,sun,Austronesian,Malayo-Sumbawan,Papunesia,big,badag,5,0
Sundanese,sund1252,sun,Austronesian,Malayo-Sumbawan,Papunesia,small,leutik,6,0
Swahili,swah1253,swh,Atlantic-Congo,Benue-Congo,Africa,big,ku,2,0
Swahili,swah1253,swh,Atlantic-Congo,Benue-Congo,Africa,small,dogo,4,0
Swedish 2,swed1254,swe,Indo-European,Germanic,Eurasia,big,stur,4,0
Swedish 2,swed1254,swe,Indo-European,Germanic,Eurasia,small,lit3n,5,0
Tabriak 3,tabr1243,tzx,Lower Sepik Ramu,LowerSepik,Papunesia,big,kuphan,6,1
Tabriak 3,tabr1243,tzx,Lower Sepik Ramu,LowerSepik,Papunesia,small,wasakh3n,8,1
Tacana,taca1256,tna,Pano-Tacanan,Pano-Tacanan,SouthAmerica,big,aida,4,0
Tacana,taca1256,tna,Pano-Tacanan,Pano-Tacanan,SouthAmerica,small,waiCidi,7,0
Tagalog,taga1270,tgl,Austronesian,GreaterCentralPhilippine,Papunesia,big,malaki,6,0
Tagalog,taga1270,tgl,Austronesian,GreaterCentralPhilippine,Papunesia,small,malit,5,0
Tahitian 2,tahi1242,tah,Austronesian,Central-EasternMalayo-Polynesian,Papunesia,big,rahi,4,0
Tahitian 2,tahi1242,tah,Austronesian,Central-EasternMalayo-Polynesian,Papunesia,small,na7ina7i,8,0
Taikat 2,taik1255,aos,other,other,Papunesia,big,munaba,6,0
Taikat 2,taik1255,aos,other,other,Papunesia,small,aNkese,6,0
Taiof,sapo1253,sps,Austronesian,Central-EasternMalayo-Polynesian,Papunesia,big,buiN,4,0
Taiof,sapo1253,sps,Austronesian,Central-EasternMalayo-Polynesian,Papunesia,small,ac,2,0
Tairora South,sout2943,omw,Nuclear Trans New Guinea,Kainantu-Goroka,Papunesia,big,3no3n3,6,0
Tairora South,sout2943,omw,Nuclear Trans New Guinea,Kainantu-Goroka,Papunesia,small,p3t3,4,0
Takia,taki1248,tbc,Austronesian,Central-EasternMalayo-Polynesian,Papunesia,big,tbun,4,0
Takia,taki1248,tbc,Austronesian,Central-EasternMalayo-Polynesian,Papunesia,small,can,3,0
Takuu Mortlock,taku1257,nho,Austronesian,Central-EasternMalayo-Polynesian,Papunesia,big,lasi,4,0
Takuu Mortlock,taku1257,nho,Austronesian,Central-EasternMalayo-Polynesian,Papunesia,small,puname,6,0
Tamil,tami1289,tam,Dravidian,SouthDravidian,Eurasia,big,periya,6,0
Tamil,tami1289,tam,Dravidian,SouthDravidian,Eurasia,small,Ciriya,6,0
Tanda Png,,ta0,Nuclear Trans New Guinea,Finisterre-Huon,Papunesia,big,dEwalaN,7,0
Tanda Png,,ta0,Nuclear Trans New Guinea,Finisterre-Huon,Papunesia,small,yamyaman,8,0
Tangu,tang1355,tgu,Lower Sepik Ramu,Ramu,Papunesia,big,arum,4,0
Tangu,tang1355,tgu,Lower Sepik Ramu,Ramu,Papunesia,small,tumun,5,0
Tanguat,tang1356,tbs,Lower Sepik Ramu,Ramu,Papunesia,big,ambagak,7,0
Tanguat,tang1356,tbs,Lower Sepik Ramu,Ramu,Papunesia,small,pEpEt,5,0
Taraon,diga1241,mhu,Sino-Tibetan,Mishmic,Eurasia,small,aa,2,0
Taraon,diga1241,mhu,Sino-Tibetan,Mishmic,Eurasia,big,daraN,5,0
Tarascan,pure1242,tsz,other,other,NorthAmerica,big,keri,4,0
Tarascan,pure1242,tsz,other,other,NorthAmerica,small,sapiCu,6,0
Tatar 2,tata1255,tat,Turkic,CommonTurkic,Eurasia,big,zur,3,0
Tatar 2,tata1255,tat,Turkic,CommonTurkic,Eurasia,small,keCkenE,7,0
Tauade 2,taua1242,ttd,Goilalan, Goilalan,Papunesia,big,karu,4,0
Tauade 2,taua1242,ttd,Goilalan, Goilalan,Papunesia,small,baupiti,7,0
Taulil 2,taul1251,tuh,other,other,Papunesia,small,f3natn37,8,0
Taulil 2,taul1251,tuh,other,other,Papunesia,big,s3ks3k3l3,9,0
Tebera,dadi1250,mps,Teberan,Teberan,Papunesia,big,we,2,0
Tebera,dadi1250,mps,Teberan,Teberan,Papunesia,small,famini,6,0
Teco Tectitan,tekt1235,ttc,Mayan,Quichean-Mamean,NorthAmerica,big,nim,3,0
Teco Tectitan,tekt1235,ttc,Mayan,Quichean-Mamean,NorthAmerica,small,nekit,5,0
Telugu,telu1262,tel,Dravidian,SouthDravidian,Eurasia,big,pedda,5,0
Telugu,telu1262,tel,Dravidian,SouthDravidian,Eurasia,small,Cinna,5,0
Temne 5,timn1235,tem,Atlantic-Congo,NorthernMel,Africa,big,bana,4,0
Temne 5,timn1235,tem,Atlantic-Congo,NorthernMel,Africa,small,lol,3,0
Tepehua Tlachichilco,tlac1235,tpt,Totonacan,Tepehua,NorthAmerica,small,lakatuniy,9,0
Tepehua Tlachichilco,tlac1235,tpt,Totonacan,Tepehua,NorthAmerica,big,ay,2,0
Tese,tese1238,keg,other,other,Africa,big,ubu,3,0
Tese,tese1238,keg,other,other,Africa,small,imudu,5,0
Tetelcingo Nahuatl,tete1251,nhg,Uto-Aztecan,SouthernUto-Aztecan,NorthAmerica,big,bieyi,5,0
Tetelcingo Nahuatl,tete1251,nhg,Uto-Aztecan,SouthernUto-Aztecan,NorthAmerica,small,cicikici,8,0
Texistepec Zoque,texi1237,poq,Mixe-Zoque,Zoque,NorthAmerica,small,h3s3ba,6,0
Texistepec Zoque,texi1237,poq,Mixe-Zoque,Zoque,NorthAmerica,big,w3Ce7,5,0
Thompson,thom1243,thp,Salishan,InteriorSalish,NorthAmerica,big,kixw,4,1
Thompson,thom1243,thp,Salishan,InteriorSalish,NorthAmerica,small,kwem,4,1
Tigre,tigr1270,tig,Afro-Asiatic,Semitic,Africa,small,n7uS,4,1
Tigre,tigr1270,tig,Afro-Asiatic,Semitic,Africa,big,Xabi,4,0
Timbe,timb1251,tim,Nuclear Trans New Guinea,Finisterre-Huon,Papunesia,big,humo,4,0
Timbe,timb1251,tim,Nuclear Trans New Guinea,Finisterre-Huon,Papunesia,small,boleNe,6,0
Timucua,timu1245,tjm,other,other,NorthAmerica,big,mini,4,0
Timucua,timu1245,tjm,other,other,NorthAmerica,small,Ciri,4,0
Tiwi,tiwi1244,tiw,other,other,Australia,big,aLikulani,9,0
Tiwi,tiwi1244,tiw,other,other,Australia,small,kiLitini,8,0
Tlapanec Malinaltepec,mali1285,tcf,Otomanguean,WesternOtomanguean,NorthAmerica,big,apha,4,1
Tlapanec Malinaltepec,mali1285,tcf,Otomanguean,WesternOtomanguean,NorthAmerica,small,Cahu,4,0
Toaripi,toar1246,tqo,Eleman,Eleman,Papunesia,big,robaea,6,0
Toaripi,toar1246,tqo,Eleman,Eleman,Papunesia,small,seika,5,0
Tobo,tobo1251,tbv,Nuclear Trans New Guinea,Finisterre-Huon,Papunesia,big,baia,4,0
Tobo,tobo1251,tbv,Nuclear Trans New Guinea,Finisterre-Huon,Papunesia,small,komora,6,0
Toda 2,toda1252,tcx,Dravidian,SouthDravidian,Eurasia,big,ittud3,6,0
Toda 2,toda1252,tcx,Dravidian,SouthDravidian,Eurasia,small,kerud3,6,0
Tojolabal,tojo1241,toj,Mayan,WesternMayan,NorthAmerica,small,Cin,3,0
Tojolabal,tojo1241,toj,Mayan,WesternMayan,NorthAmerica,big,naxat,5,0
Tokano,toka1244,zuh,Nuclear Trans New Guinea,Kainantu-Goroka,Papunesia,big,napa,4,0
Tokano,toka1244,zuh,Nuclear Trans New Guinea,Kainantu-Goroka,Papunesia,small,xkoma,5,0
Tongan 2,tong1325,ton,Austronesian,Central-EasternMalayo-Polynesian,Papunesia,big,lahi,4,0
Tongan 2,tong1325,ton,Austronesian,Central-EasternMalayo-Polynesian,Papunesia,small,si7isi7i,8,0
Totonac Coatepec,,,Totonacan,Totonac,NorthAmerica,big,Lanka7,6,0
Totonac Coatepec,,,Totonacan,Totonac,NorthAmerica,small,cu,2,0
Totonac Coyutla,high1243,tos,Totonacan,Totonac,NorthAmerica,big,lanka,5,0
Totonac Coyutla,high1243,tos,Totonacan,Totonac,NorthAmerica,small,akcu,4,0
Totonac Filomena Mata,filo1235,tlp,Totonacan,Totonac,NorthAmerica,big,lanka,5,0
Totonac Filomena Mata,filo1235,tlp,Totonacan,Totonac,NorthAmerica,small,tinax,5,0
Totonac Upper Nexaca,uppe1275,tku,Totonacan,Totonac,NorthAmerica,big,aLa,3,0
Totonac Upper Nexaca,uppe1275,tku,Totonacan,Totonac,NorthAmerica,small,sata,4,0
Totoro,toto1306,ttk,Barbacoan,Coconucan,SouthAmerica,big,nu7ik,5,0
Totoro,toto1306,ttk,Barbacoan,Coconucan,SouthAmerica,small,TaS7tik,7,0
Triqui Copala,copa1237,trc,Otomanguean,EasternOtomanguean,NorthAmerica,big,Sih,3,0
Triqui Copala,copa1237,trc,Otomanguean,EasternOtomanguean,NorthAmerica,small,ni,2,0
Trumai,trum1247,tpy,other,other,SouthAmerica,big,iye,3,0
Trumai,trum1247,tpy,other,other,SouthAmerica,small,pat,3,0
Tsez 2,dido1241,ddo,Nakh-Daghestanian,Daghestanian,Eurasia,big,beZe,4,0
Tsez 2,dido1241,ddo,Nakh-Daghestanian,Daghestanian,Eurasia,small,beXe,4,0
Tulamni,,,Yokutsan,Yokutsan,NorthAmerica,big,wi7,3,0
Tulamni,,,Yokutsan,Yokutsan,NorthAmerica,small,me7coc,6,0
Tulu India 2,tulu1258,tcy,Dravidian,SouthDravidian,Eurasia,big,malla,5,0
Tulu India 2,tulu1258,tcy,Dravidian,SouthDravidian,Eurasia,small,ki5a,4,0
Tundra Nenets,nene1249,yrk,Uralic,Samoyedic,Eurasia,small,5udyo,5,1
Tundra Nenets,nene1249,yrk,Uralic,Samoyedic,Eurasia,big,Norko,5,0
Tungak,tung1290,lcm,Austronesian,Central-EasternMalayo-Polynesian,Papunesia,big,taviri,6,0
Tungak,tung1290,lcm,Austronesian,Central-EasternMalayo-Polynesian,Papunesia,small,lik,3,0
Turkana,turk1308,tuv,other,other,Africa,big,epol,4,0
Turkana,turk1308,tuv,other,other,Africa,small,loCi,4,0
Turkish,nucl1301,tur,Turkic,CommonTurkic,Eurasia,big,biyik,5,0
Turkish,nucl1301,tur,Turkic,CommonTurkic,Eurasia,small,kiCik,5,0
Twana,twan1247,twa,Salishan,CentralSalish,NorthAmerica,big,sisid,5,0
Twana,twan1247,twa,Salishan,CentralSalish,NorthAmerica,small,maL,3,0
Tzeltal Bachajon,tzel1254,tzh,Mayan,WesternMayan,NorthAmerica,big,muk,3,0
Tzeltal Bachajon,tzel1254,tzh,Mayan,WesternMayan,NorthAmerica,small,bikit,5,0
Tzutujil San Juan La Laguna,tzut1248,tzj,Mayan,Quichean-Mamean,NorthAmerica,big,nim,3,0
Tzutujil San Juan La Laguna,tzut1248,tzj,Mayan,Quichean-Mamean,NorthAmerica,small,tinoy,5,0
Uare,uare1241,ksj,Kwalean,Kwalean,Papunesia,big,boro,4,0
Uare,uare1241,ksj,Kwalean,Kwalean,Papunesia,small,komE73,6,0
Udmurt 2,udmu1245,udm,Uralic,Permian,Eurasia,small,piCyi,5,1
Udmurt 2,udmu1245,udm,Uralic,Permian,Eurasia,big,bodj3m,6,0
Ukrainian 2,ukra1253,ukr,Indo-European,Balto-Slavic,Eurasia,big,wElikiy,7,0
Ukrainian 2,ukra1253,ukr,Indo-European,Balto-Slavic,Eurasia,small,moliy,5,0
Umbu Ungu 2,umbu1258,ubu,Nuclear Trans New Guinea,Chimbu-Wahgi,Papunesia,big,awili,5,0
Umbu Ungu 2,umbu1258,ubu,Nuclear Trans New Guinea,Chimbu-Wahgi,Papunesia,small,kaNga,5,0
Una 2,unaa1239,mtg,Nuclear Trans New Guinea,Mek,Papunesia,big,weyk,4,0
Una 2,unaa1239,mtg,Nuclear Trans New Guinea,Mek,Papunesia,small,mitik,5,0
Ura Png2,urav1235,uur,Austronesian,Central-EasternMalayo-Polynesian,Papunesia,big,moro,4,0
Ura Png2,urav1235,uur,Austronesian,Central-EasternMalayo-Polynesian,Papunesia,small,gaini,5,0
Urubu Kaapor,urub1250,urb,Tupian,Tupian,SouthAmerica,big,keruhu,6,0
Urubu Kaapor,urub1250,urb,Tupian,Tupian,SouthAmerica,small,ta73r,5,0
Uspanteko,uspa1245,usp,Mayan,Quichean-Mamean,NorthAmerica,small,qun,3,0
Uspanteko,uspa1245,usp,Mayan,Quichean-Mamean,NorthAmerica,big,nim,3,0
Vai 3,vaii1241,vai,Mande,WesternMande,Africa,big,kuro,4,0
Vai 3,vaii1241,vai,Mande,WesternMande,Africa,small,loya7e,6,0
Veps 2,veps1250,vep,Uralic,Finnic,Eurasia,big,sury,4,1
Veps 2,veps1250,vep,Uralic,Finnic,Eurasia,small,pEny,4,1
Vietnamese,viet1252,vie,Austroasiatic,Vietic,Eurasia,big,lon,3,0
Vietnamese,viet1252,vie,Austroasiatic,Vietic,Eurasia,small,5o,2,0
Vitu,mudu1242,wiv,Austronesian,Central-EasternMalayo-Polynesian,Papunesia,big,kapou,5,0
Vitu,mudu1242,wiv,Austronesian,Central-EasternMalayo-Polynesian,Papunesia,small,kote,4,0
Viya 2,eviy1235,gev,Atlantic-Congo,Benue-Congo,Africa,big,oda,3,0
Viya 2,eviy1235,gev,Atlantic-Congo,Benue-Congo,Africa,small,ana,3,0
W Oromo,west2721,gaz,Afro-Asiatic,Cushitic,Africa,small,hira,4,0
W Oromo,west2721,gaz,Afro-Asiatic,Cushitic,Africa,big,guda,4,0
Wa,nucl1290,wbm,Austroasiatic,Khasi-Palaung,Eurasia,big,tiN,3,0
Wa,nucl1290,wbm,Austroasiatic,Khasi-Palaung,Eurasia,small,iak,3,0
Walio,nucl1453,wla,Walioic,Walioic,Papunesia,big,puali,5,0
Walio,nucl1453,wla,Walioic,Walioic,Papunesia,small,pukElEbE,8,0
Wallisian East Uvean,wall1257,wls,Austronesian,Central-EasternMalayo-Polynesian,Papunesia,big,lahi,4,0
Wallisian East Uvean,wall1257,wls,Austronesian,Central-EasternMalayo-Polynesian,Papunesia,small,veliveli,8,0
Wano 2,wano1243,wno,Nuclear Trans New Guinea,Dani,Papunesia,big,yedok,5,0
Wano 2,wano1243,wno,Nuclear Trans New Guinea,Dani,Papunesia,small,be7,3,0
Warao,wara1303,wba,other,other,SouthAmerica,big,irija,5,0
Warao,wara1303,wba,other,other,SouthAmerica,small,sanuka,6,0
Wasembo,wase1252,gsp,Nuclear Trans New Guinea,Madang,Papunesia,big,pite,4,0
Wasembo,wase1252,gsp,Nuclear Trans New Guinea,Madang,Papunesia,small,bEne,4,0
Washo,wash1253,was,other,other,NorthAmerica,big,iyel,4,0
