word,category,mean,sd,lwr,upr,word_dim
1PLE,continuant+voice,-0.09555467242897372,0.08885918123196826,-0.2732730348929102,0.0821636900349628,
1PLE,continuant-voice,-0.01290511414944332,0.027392675873239156,-0.06769046589592163,0.04188023759703499,
1PLE,lateral+voice,-0.012127874613096154,0.036620229709043856,-0.08536833403118387,0.06111258480499156,
1PLE,lateral-voice,-0.014338843957226713,0.06910425478113892,-0.15254735351950455,0.12386966560505112,
1PLE,nasal+voice,-0.012264107018355536,0.039546036581628474,-0.09135618018161248,0.06682796614490141,
1PLE,nasal-voice,0.2706234542282441,0.08431300632016132,0.10199744158792143,0.4392494668685667,
1PLE,stop+voice,-0.15794924254558362,0.08821355742136824,-0.3343763573883201,0.018477872297152864,
1PLE,stop-voice,-0.016712677737640732,0.06490934517016227,-0.14653136807796527,0.1131060126026838,
1PLE,vibrant+voice,-0.012135458835909373,0.03843869255021652,-0.08901284393634241,0.06474192626452367,
1PLE,vibrant-voice,-0.013795760207646699,0.042044873879535524,-0.09788550796671774,0.07029398755142435,
1PLI,continuant+voice,-0.13950555363760683,0.0885821776102329,-0.31666990885807267,0.037658801582858975,
1PLI,continuant-voice,-0.009416261502033032,0.027556131594636973,-0.06452852469130697,0.04569600168724092,
1PLI,lateral+voice,-0.008791298667838142,0.03660004229538839,-0.08199138325861491,0.06440878592293864,
1PLI,lateral-voice,-0.011359537095169353,0.06913748821752795,-0.14963451353022525,0.12691543933988655,
1PLI,nasal+voice,-0.008905773108691317,0.039608826926516315,-0.08812342696172394,0.07031188074434132,
1PLI,nasal-voice,0.26148324909000886,0.08369897871630345,0.09408529165740195,0.42888120652261574,
1PLI,stop+voice,-0.13050564302757148,0.08821154659262458,-0.30692873621282063,0.045917450157677675,
1PLI,stop-voice,-0.013210028745588945,0.06508087771598045,-0.14337178417754984,0.11695172668637195,
1PLI,vibrant+voice,-0.008932171055473363,0.03860084859214069,-0.08613386823975475,0.06826952612880802,
1PLI,vibrant-voice,-0.0095667948815671075,0.042326670393705676,-0.09422013566897847,0.07508654590584424,
1SG,continuant+voice,-0.18696127333228213,0.0890654624640171,-0.36509219826031636,-0.008830348404247929,
1SG,continuant-voice,2.2053782342876474e-4,0.02752988391922622,-0.05483923001502368,0.055280305661881204,
1SG,lateral+voice,7.724337497640274e-4,0.03665586702560597,-0.07253930030144791,0.07408416780097597,
1SG,lateral-voice,-0.0023649069981758037,0.06911831976381386,-0.1406015465258035,0.13587173252945192,
1SG,nasal+voice,7.863775584381517e-4,0.03940242767221896,-0.07801847778599977,0.07959123290287606,
1SG,nasal-voice,0.34345308101351435,0.084322899639013,0.17480728173548835,0.5120988802915404,
1SG,stop+voice,-0.23944827891066628,0.08825234462986885,-0.41595296817040395,-0.06294358965092858,
