word,category,mean,sd,lwr,upr,word_dim
1PLE,continuant,-0.03147767552153668,0.04714557718226365,-0.12576882988606397,0.06281347884299063,
1PLE,lateral,-0.02978080732330504,0.08559010918875289,-0.2009610257008108,0.14139941105420073,
1PLE,nasal,0.2887195788781651,0.09962869557108597,0.08946218773599313,0.487976970020337,
1PLE,stop,-0.18583108229404507,0.09073321274785187,-0.3672975077897488,-0.004364656798341332,
1PLE,vibrant,-0.029097360427735648,0.06315620986507044,-0.15540978015787651,0.09721505930240523,
1PLI,continuant,-0.035345920473964704,0.04700741609233895,-0.1293607526586426,0.0586689117107132,
1PLI,lateral,-0.03326225182749074,0.08616238877117875,-0.20558702936984824,0.13906252571486677,
1PLI,nasal,0.2780071032349818,0.09967160733878294,0.0786638885574159,0.4773503179125477,
1PLI,stop,-0.16901698625477693,0.09005163396070519,-0.3491202541761873,0.011086281666633446,
1PLI,vibrant,-0.03177791371795243,0.062458610367898626,-0.1566951344537497,0.09313930701784481,
1SG,continuant,-0.019567945753995827,0.04657163354177178,-0.11271121283753939,0.07357532132954774,
1SG,lateral,-0.019307795889535042,0.0860437395226254,-0.19139527493478584,0.15277968315571575,
1SG,nasal,0.4034067993137013,0.09901148220794295,0.20538383489781542,0.6014297637295872,
1SG,stop,-0.3231981460697987,0.09061577166474781,-0.5044296893992943,-0.14196660274030307,
1SG,vibrant,-0.017643511833319924,0.06203530419289262,-0.14171412021910515,0.10642709655246531,
2PL,continuant,-0.05688499974113879,0.04740038346709613,-0.15168576667533104,0.03791576719305347,
2PL,lateral,-0.05329041258833199,0.08609841230692418,-0.22548723720218034,0.11890641202551637,
2PL,nasal,0.3188106752933186,0.10056376824185886,0.11768313880960085,0.5199382117770364,
2PL,stop,-0.1652190933181076,0.09078015947479713,-0.34677941226770187,0.016341225631486656,
2PL,vibrant,-0.0524809294173282,0.06306249471534986,-0.17860591884802793,0.07364406001337151,
2SG,continuant,-0.06264920231850948,0.04903518172242327,-0.16071956576335603,0.03542116112633706,
2SG,lateral,-0.05840705348857344,0.08683236758030961,-0.23207178864919267,0.11525768167204578,
2SG,nasal,0.5363205682376093,0.10094322428049173,0.33443411967662584,0.7382070167985928,2SG
2SG,stop,-0.37915024937746816,0.09223079871272583,-0.5636118468029199,-0.1946886519520165,
2SG,vibrant,-0.05842465946919201,0.06399474322089214,-0.1864141459109763,0.06956482697259228,
3PL,continuant,-0.012750045824983697,0.046375353100457234,-0.10550075202589816,0.08000066037593077,
3PL,lateral,-0.013201201917128409,0.08610490874766519,-0.18541101941245877,0.15900861557820198,
3PL,nasal,0.12893171725613983,0.10133768682098995,-0.07374365638584007,0.33160709089811974,
3PL,stop,-0.08193426568878043,0.08987430913868084,-0.26168288396614214,0.09781435258858126,
3PL,vibrant,-0.011770731963799,0.061881547301794404,-0.1355338265673878,0.1119923626397898,
3SG,continuant,-0.002650501012106381,0.04655808265717581,-0.095766666326458,0.09046566430224523,
3SG,lateral,-0.004199710193924453,0.08535150485789225,-0.17490271990970896,0.16650329952186005,
3SG,nasal,0.23609297442817792,0.09915844024094579,0.03777609394628634,0.4344098549100695,
3SG,stop,-0.19284600094591542,0.0898897809550754,-0.3726255628560662,-0.013066439035764627,
3SG,vibrant,-0.0033348366202664782,0.06214659523372883,-0.12762802708772414,0.12095835384719117,
DD_fs,continuant,0.0011664785026092004,0.04794296517222457,-0.09471945184183994,0.09705240884705835,
DD_fs,lateral,-4.5438396982128485e-4,0.08604102810093464,-0.17253644017169056,0.171627672232048,
DD_fs,nasal,-0.012641031389703948,0.10187016221012252,-0.216381355809949,0.19109929303054107,
DD_fs,stop,0.0019727759607422054,0.09216438062992595,-0.18235598529910968,0.18630153722059412,
DD_fs,vibrant,-3.1370509051680353e-4,0.06319408893419812,-0.12670188295891305,0.12607447277787942,
DD_ms,continuant,-0.0028792131553958818,0.04679543057702839,-0.09647007430945266,0.0907116479986609,
DD_ms,lateral,-0.004236576643586031,0.08650627240917304,-0.1772491214619321,0.16877596817476004,
DD_ms,nasal,0.03924974163587856,0.10243368604113616,-0.16561763044639377,0.24411711371815087,
DD_ms,stop,-0.02897692747873881,0.0911019989440144,-0.2111809253667676,0.15322707040928998,
DD_ms,vibrant,-0.004117880536676413,0.0627024023217258,-0.12952268518012802,0.12128692410677519,
DS_fs,continuant,-0.004927112734014631,0.047177820440881826,-0.09928275361577829,0.08942852814774901,
DS_fs,lateral,-0.00645261958947367,0.08572349626321707,-0.1778996121159078,0.16499437293696048,
DS_fs,nasal,0.01962029691173286,0.10159686705510103,-0.1835734371984692,0.22281403102193492,
DS_fs,stop,-0.010248363515255245,0.09061718925237919,-0.1914827420200136,0.17098601498950314,
DS_fs,vibrant,-0.005944953082543462,0.06275090950703052,-0.13144677209660452,0.11955686593151758,
