word,category,mean,sd,lwr,upr,word_dim
1PLE,back,-0.08906416593588712,0.09403676024321841,-0.27713768642232395,0.09900935455054971,
1PLE,central,-0.041180358125799434,0.10520867608933414,-0.2515977103044677,0.16923699405286885,
1PLE,front,0.09427895953437754,0.12012883238119626,-0.14597870522801498,0.33453662429677006,
1PLI,back,-0.08239729960477718,0.09421616942566004,-0.27082963845609725,0.1060350392465429,
1PLI,central,-0.04038738713382678,0.1055597901334999,-0.25150696740082656,0.17073219313317303,
1PLI,front,0.08836015054373708,0.12052250113690388,-0.15268485173007068,0.32940515281754484,
1SG,back,-0.09792755575829358,0.09348901260391064,-0.28490558096611485,0.0890504694495277,
1SG,central,-0.04640449620243901,0.10619426609197087,-0.25879302838638074,0.16598403598150274,
1SG,front,0.1044526647611331,0.1201044820623254,-0.13575629936351769,0.3446616288857839,
2PL,back,-0.13521099802487535,0.09517841261494271,-0.32556782325476075,0.05514582720501007,
2PL,central,-0.07648859352012474,0.10758970554870936,-0.2916680046175435,0.13869081757729398,
2PL,front,0.15149975571458477,0.12084517286504749,-0.09019059001551022,0.39319010144467975,
2SG,back,-0.1625656597887431,0.09426997884324176,-0.3511056174752266,0.025974297897740417,
2SG,central,-0.08804099055324044,0.10643288670125713,-0.30090676395575466,0.12482478284927381,
2SG,front,0.1799224350556462,0.11879091563076183,-0.057659396205877456,0.41750426631716986,
3PL,back,-0.06026234145577618,0.0934784674632704,-0.247219276382317,0.12669459347076462,
3PL,central,-0.03630270564960787,0.10419011080257692,-0.2446829272547617,0.172077515955546,
3PL,front,0.06792749319186187,0.11982617276307547,-0.17172485233428908,0.3075798387180128,
3SG,back,-0.09799194597989161,0.09410324481198624,-0.2861984356038641,0.09021454364408088,
3SG,central,-0.05722184470996591,0.10594448342225757,-0.269110811554481,0.15466712213454922,
3SG,front,0.1106233777710196,0.12012174074522797,-0.12962010371943633,0.35086685926147554,
above,back,-0.01201522761226122,0.09376073408148897,-0.19953669577523916,0.1755062405507167,
above,central,-0.004829364499389973,0.10401235439690358,-0.21285407329319714,0.20319534429441719,
above,front,0.009757530012023233,0.12153829865978795,-0.23331906730755267,0.25283412733159916,
afraid,back,-0.009958905063559054,0.0926567406236183,-0.19527238631079566,0.17535457618367753,
afraid,central,-0.00593144701589301,0.10458778589346056,-0.21510701880281413,0.2032441247710281,
afraid,front,0.008674909247524506,0.12091570851571556,-0.23315650778390662,0.25050632627895564,
after,back,-0.0022185487620672074,0.09459949067948738,-0.19141753012104196,0.18698043259690755,
after,central,-0.010468721659548166,0.10530897206904592,-0.22108666579764003,0.20014922247854366,
after,front,0.004726043467491771,0.12293974510089059,-0.2411534467342894,0.25060553366927296,
air,back,-0.08517034111444917,0.10118102773009632,-0.2875323965746418,0.11719171434574348,
air,central,-0.05693667466515317,0.11259169253337242,-0.282120059731898,0.16824671040159167,
air,front,0.09960646016631514,0.13095037901347356,-0.162294297860632,0.36150721819326226,
all,back,0.06081892835788465,0.09116598705332661,-0.12151304574876858,0.24315090246453785,
all,central,0.02775005767476408,0.10228295834419755,-0.17681585901363103,0.23231597436315918,
all,front,-0.07094116877047056,0.12018464674168826,-0.31131046225384706,0.16942812471290597,
angry,back,-0.02301424552960407,0.09384514873775839,-0.21070454300512084,0.1646760519459127,
angry,central,-0.007520369801143354,0.1057112626667896,-0.21894289513472254,0.20390215553243585,
angry,front,0.0204457294276639,0.12222092596423549,-0.22399612250080708,0.2648875813561349,
animal,back,-0.02502225595571774,0.09480765244323286,-0.21463756084218347,0.16459304893074797,
animal,central,-0.017567622154857413,0.10610414293762016,-0.22977590803009773,0.1946406637203829,
animal,front,0.027875730034418893,0.12322617591755104,-0.21857662180068319,0.27432808186952096,
ant,back,0.026151275902965204,0.0947644592058242,-0.1633776425086832,0.2156801943146136,
ant,central,0.015943241862165086,0.10503593636139343,-0.19412863086062176,0.22601511458495194,
ant,front,-0.034593019580838276,0.12428038533034659,-0.2831537902415315,0.2139677510798549,
arm_lower,back,-0.02415196406621619,0.09100761070372788,-0.20616718547367197,0.15786325734123957,
arm_lower,central,-0.010001480059323827,0.10313091667987323,-0.2162633134190703,0.19626035330042263,
arm_lower,front,0.022995885352373686,0.1183231629062767,-0.21365044046017972,0.2596422111649271,
arm_upper,back,-0.02053144496139416,0.09189077810410905,-0.20431300116961226,0.16325011124682393,
arm_upper,central,-0.007034679533554338,0.10325563916501246,-0.21354595786357924,0.1994765987964706,
arm_upper,front,0.018225487294421968,0.11930406679353923,-0.2203826462926565,0.2568336208815004,
ashes,back,0.2544399843984492,0.09031958361937975,0.07380081715968972,0.4350791516372087,
ashes,central,0.15335732620131998,0.0987730634129901,-0.04418880062466021,0.3509034530273002,
ashes,front,-0.3206783211790067,0.12250212350952122,-0.5656825681980491,-0.07567407415996424,
back,back,0.17422573000335137,0.08912673878647581,-0.004027747569600254,0.352479207576303,
back,central,0.12073977133176811,0.10037332691726841,-0.08000688250276872,0.32148642516630493,
back,front,-0.22684563943307565,0.12159229584880454,-0.47003023113068476,0.01633895226453344,
bad,back,-0.020493257252302655,0.09164697708428705,-0.20378721142087677,0.16280069691627144,
bad,central,-0.014083436195103242,0.10351163959698792,-0.22110671538907908,0.1929398429988726,
bad,front,0.022258410846122796,0.1188834066996721,-0.2155084025532214,0.260025224245467,
bark,back,0.004928711714576023,0.09316370124950858,-0.18139869078444115,0.19125611421359318,
bark,central,9.465066364287448e-4,0.10277236688760792,-0.2045982271387871,0.2064912404116446,
bark,front,-0.0077725873797671145,0.12043827238002704,-0.24864913213982118,0.23310395738028697,
beautiful,back,-0.054237911918937225,0.09612440848130642,-0.24648672888155007,0.1380109050436756,
beautiful,central,-0.05041606633157993,0.10746908533812745,-0.26535423700783484,0.16452210434467496,
beautiful,front,0.070784590758821625,0.12416450936105634,-0.17754442796329106,0.3191136094809343,
because,back,-0.0712787637421318,0.09695956169522985,-0.2651978871325915,0.1226403596483279,
because,central,-0.054914661106312365,0.10797003923884639,-0.27085473958400513,0.16102541737138043,
because,front,0.08733311349190949,0.1248483096447259,-0.16236350579754233,0.3370297327813613,
before,back,-0.013269576206570334,0.09464054787901155,-0.20255067196459342,0.17601151955145278,
before,central,-0.008530118164833164,0.10510654186037502,-0.21874320188558322,0.20168296555591686,
before,front,0.012885649680128624,0.1230893075726871,-0.23329296546524558,0.2590642648255028,
