word,group,fit,lwr,upr,word_caps,nLangs,nRegions,cardinal,topCardinal,fitProp_fit,fitProp_lwr,fitProp_upr,obs,obs_OR,myvar
five,consonant,0.076153375526339,-0.023196830994969,0.175282914628665,FIVE,227,6,çɬɽmcsṃtpṇn,t,0.530934576041739,0.511528763831322,0.550881013233016,0.531348205213021,0.022831158552404,vowelConsonant
flat,consonant,0.17057807024497,0.056298435618043,0.284597665135397,FLAT,169,6,ʎfpbɬlxɟɽtvhr,t,0.547300232906954,0.525416318455241,0.569138871533126,0.555308919091685,0.162177061621791,vowelConsonant
flesh,consonant,0.045559046341445,-0.051695561151589,0.144699823841369,FLESH,231,6,sdmlʔɽnɟʎc,s,0.525735027592443,0.506047554044157,0.544908571194774,0.535311377863587,0.04580395873078,vowelConsonant
flower,consonant,-0.004771776788387,-0.106032917928498,0.096906142447895,FLOWER,208,6,ɲçzʎɬɦmnkʔŋṇrdtcxṃἠh,ɲ,0.516954980933723,0.496831017099867,0.537092884055873,0.530116489401462,0.015696238641112,vowelConsonant
fly_n,consonant,0.146811510671558,0.042704723194616,0.251981701461513,FLY_N,195,6,zʎbɟrpŋfxɲhɣvlm,r,0.543164572269499,0.522791960239966,0.563793445955035,0.548016980051526,0.119641983236305,vowelConsonant
fly_v,consonant,0.053427733193718,-0.046620098462148,0.156518822964822,FLY_V,210,6,fpɟjbrhɦɬdʔlvɽ,p,0.527026773622652,0.507441044417191,0.547306177474905,0.535775440038857,0.048495561294897,vowelConsonant
FM_fs,consonant,-0.13257391290126,-0.231382463629666,-0.031149403291332,FM_FS,219,6,rɣɬɽlgcçxʎshvɲnṇṃṛjἠ,ɣ,0.494928944115148,0.475141130548667,0.514640030667112,0.497203311938369,-0.174449277538873,vowelConsonant
FM_ms,consonant,-0.133545711178956,-0.23347312890807,-0.032594633709793,FM_MS,219,6,rɣɬlgcçxʎɽshvɲnṇṃṛἠ,ɣ,0.494788128528984,0.474745813304291,0.514990071897538,0.496944108267788,-0.175945136210071,vowelConsonant
FoB_fs,consonant,-0.101286868364003,-0.203307856911046,0.001842842796875,FOB_FS,211,6,ɣcɟrdlgɬɲnhʎṇkɽʔŋmxṃṛἠ,ɣ,0.500347809934429,0.479970654468262,0.520791050775651,0.507342897268202,-0.115932744624426,vowelConsonant
FoB_ms,consonant,-0.085423423658165,-0.188201878293538,0.014242744909774,FOB_MS,210,6,ɣcɟrdɲglhnʎṇʔŋkɬmxṃɽṛἠ,ɣ,0.503120813683163,0.482581285944031,0.523336630196512,0.510375776533103,-0.098425114831123,vowelConsonant
foot,consonant,0.097696606345904,-0.002124771509401,0.196867697745631,FOOT,229,6,cɟfgʔçplxhvzdjkmt,t,0.534650819456927,0.514863016447759,0.554033506068027,0.539734301997069,0.071472413748496,vowelConsonant
four,consonant,0.117133265248521,0.017420614612373,0.215618849810136,FOUR,230,6,ɽṇɬlpnctgsr,t,0.537811258068465,0.518423514026223,0.557814257542785,0.539769499749429,0.071676824288987,vowelConsonant
FoZ_fs,consonant,-0.153294157738197,-0.257969179005033,-0.049491312589196,FOZ_FS,205,6,ɣrzɽɟgdklhɬcnṃtvṛἠf,ɣ,0.491020154889709,0.470763578417315,0.512412890013753,0.505713751900129,-0.125335795718013,vowelConsonant
FoZ_ms,consonant,-0.156868551400943,-0.256766475071234,-0.054851561146451,FOZ_MS,205,6,ɣrzɟgdlkhɬnctṃɽṛἠf,ɣ,0.490571246295173,0.470570121695939,0.51131353895915,0.505113970693312,-0.128797407461967,vowelConsonant
full,consonant,0.12124304183264,0.011646940172473,0.228830113609524,FULL,195,6,bfdpɬxçtʔcmsɲr,t,0.53870621878665,0.517787340831432,0.560020668111766,0.544769393125143,0.100738054451655,vowelConsonant
FyB_fs,consonant,-0.086622758752862,-0.186471343911621,0.013025189283681,FYB_FS,212,6,rɟɣdɬchlnɲʎvgṇɽkmŋṃṛxἠ,ṇ,0.502880826096719,0.482952873479488,0.522309181233081,0.510740460216312,-0.096319666562773,vowelConsonant
FyB_ms,consonant,-0.070167542552172,-0.169982445450888,0.029463012853346,FYB_MS,211,6,rɟɣdcɲhɬlgnɽʎṇvmṃŋkṛxἠ,ṇ,0.505641308239834,0.485940948405902,0.525753964905512,0.514243598086307,-0.076091118353416,vowelConsonant
FyZ_fs,consonant,-0.136234693503096,-0.239879929694674,-0.031459226965352,FYZ_FS,204,6,zɣrɽɟgdlkhɬncbtṃṛἠ,ɣ,0.494267417979002,0.473209887979969,0.514373395340243,0.508910655131171,-0.106883160524769,vowelConsonant
FyZ_ms,consonant,-0.140543826440177,-0.240803775343778,-0.041310759016962,FYZ_MS,204,6,zɣrɟgdlkhnɬctṃɽṛbἠ,ɣ,0.493439118754061,0.472943561023476,0.513010433202853,0.507825868183327,-0.113144983991013,vowelConsonant
girl,consonant,0.077325741811149,-0.024923619358871,0.179034911354447,GIRL,213,6,ɽfdçjsɲʎrŋzcvknɬmx,k,0.531078610119055,0.511655967643089,0.551745644236343,0.5342443053278,0.039616178877948,vowelConsonant
