ipa,unicode,height,backness,roundedness,extreme,extreme_roundedness,manner,manner_voicing,position,position_voicing,voicing,gr35,gr60,cardinal,cardinal_ipa
ɬ,ɬ,,,,,,lateral,lateral-voice,alveolar,alveolar-voice,unvoiced,lateral-hardpalate-voiceless,lateral-alveolar-voiceless,ɬ,ɬ
ɮ,ɮ,,,,,,lateral,lateral+voice,alveolar,alveolar+voice,voiced,lateral-hardpalate-voiced,lateral-alveolar-voiced,l,l
ɬ̪ʼ,ḹ,,,,,,lateral,lateral-voice,alveolar,alveolar-voice,unvoiced,lateral-hardpalate-voiceless,lateral-alveolar-voiceless,ɬ,ɬ
ɬʼ,ḽ,,,,,,lateral,lateral-voice,alveolar,alveolar-voice,unvoiced,lateral-hardpalate-voiceless,lateral-alveolar-voiceless,ɬ,ɬ
ɺ,ɺ,,,,,,lateral,lateral+voice,alveolar,alveolar+voice,voiced,lateral-hardpalate-voiced,lateral-alveolar-voiced,l,l
ʘ,ʘ,,,,,,stop,stop-voice,labial,labial-voice,unvoiced,stop-labial-voiceless,stop-labial-voiceless,p,p
ᶢʘ,£,,,,,,stop,stop+voice,labial,labial+voice,voiced,stop-labial-voiced,stop-labial-voiced,b,b
ǀ,ǀ,,,,,,stop,stop-voice,alveolar,alveolar-voice,unvoiced,stop-hardpalate-voiceless,stop-alveolar-voiceless,t,t
ᶢǀ,&,,,,,,stop,stop+voice,alveolar,alveolar+voice,voiced,stop-hardpalate-voiced,stop-alveolar-voiced,d,d
!,!,,,,,,stop,stop-voice,palatal,palatal-voice,unvoiced,stop-hardpalate-voiceless,stop-palatal-voiceless,c,c
ᶢ!,%,,,,,,stop,stop+voice,palatal,palatal+voice,voiced,stop-hardpalate-voiced,stop-palatal-voiced,ɟ,ɟ
ǂ,ǂ,,,,,,stop,stop-voice,alveolar,alveolar-voice,unvoiced,stop-hardpalate-voiceless,stop-alveolar-voiceless,t,t
ᶢǂ,½,,,,,,stop,stop+voice,alveolar,alveolar+voice,voiced,stop-hardpalate-voiced,stop-alveolar-voiced,d,d
ᵑʘ,§,,,,,,stop,stop+voice,labial,labial+voice,voiced,stop-labial-voiced,stop-labial-voiced,b,b
ᵑǀ,€,,,,,,stop,stop+voice,alveolar,alveolar+voice,voiced,stop-hardpalate-voiced,stop-alveolar-voiced,d,d
ᵑ!,(,,,,,,stop,stop+voice,palatal,palatal+voice,voiced,stop-hardpalate-voiced,stop-palatal-voiced,ɟ,ɟ
ᵑǂ,),,,,,,stop,stop+voice,palatal,palatal+voice,voiced,stop-hardpalate-voiced,stop-palatal-voiced,ɟ,ɟ
ǁ,ǁ,,,,,,stop,stop-voice,alveolar,alveolar-voice,unvoiced,stop-hardpalate-voiceless,stop-alveolar-voiceless,t,t
ᶢǁ,{,,,,,,stop,stop+voice,alveolar,alveolar+voice,voiced,stop-hardpalate-voiced,stop-alveolar-voiced,d,d
ᵑǁ,[,,,,,,stop,stop+voice,alveolar,alveolar+voice,voiced,stop-hardpalate-voiced,stop-alveolar-voiced,d,d
ᵑ̊ʘ,],,,,,,stop,stop-voice,labial,labial-voice,unvoiced,stop-labial-voiceless,stop-labial-voiceless,p,p
ᵑ̊ǀ,},,,,,,stop,stop-voice,alveolar,alveolar-voice,unvoiced,stop-hardpalate-voiceless,stop-alveolar-voiceless,t,t
ᵑ̊!,|,,,,,,stop,stop-voice,palatal,palatal-voice,unvoiced,stop-hardpalate-voiceless,stop-palatal-voiceless,c,c
ᵑ̊ǁ,<,,,,,,stop,stop-voice,alveolar,alveolar-voice,unvoiced,stop-hardpalate-voiceless,stop-alveolar-voiceless,t,t
ᵑ̊ǂ,>,,,,,,stop,stop-voice,palatal,palatal-voice,unvoiced,stop-hardpalate-voiceless,stop-palatal-voiceless,c,c
i,i,high,front,unrounded,high-front,high-front-unrounded,,,,,voiced,high-front,high-front-unrounded,i,i
ḭ,ï,high,front,unrounded,high-front,high-front-unrounded,,,,,voiced,high-front,high-front-unrounded,i,i
i̤,ī,high,front,unrounded,high-front,high-front-unrounded,,,,,voiced,high-front,high-front-unrounded,i,i
e,e,mid,front,unrounded,high-front,high-front-unrounded,,,,,voiced,high-front,high-front-unrounded,e,e
ḛ,ë,mid,front,unrounded,high-front,high-front-unrounded,,,,,voiced,high-front,high-front-unrounded,e,e
e̤,ē,mid,front,unrounded,high-front,high-front-unrounded,,,,,voiced,high-front,high-front-unrounded,e,e
e̞,ė,mid,front,unrounded,high-front,high-front-unrounded,,,,,voiced,high-front,high-front-unrounded,e,e
ɛ,ɛ,mid,front,unrounded,low-front,low-front-unrounded,,,,,voiced,low-front,low-front-unrounded,e,e
æ,æ,low,front,unrounded,low-front,low-front-unrounded,,,,,voiced,low-front,low-front-unrounded,a,a
a,a,low,front,unrounded,low-front,low-front-unrounded,,,,,voiced,low-front,low-front-unrounded,a,a
a̰,ä,low,front,unrounded,low-front,low-front-unrounded,,,,,voiced,low-front,low-front-unrounded,a,a
a̤,ā,low,front,unrounded,low-front,low-front-unrounded,,,,,voiced,low-front,low-front-unrounded,a,a
y,y,high,front,rounded,high-front,high-front-rounded,,,,,voiced,high-front,high-front-rounded,y,y
ø,ø,mid,front,rounded,high-front,high-front-rounded,,,,,voiced,high-front,high-front-rounded,ø,ø
œ,œ,mid,front,rounded,low-front,low-front-rounded,,,,,voiced,low-front,low-front-rounded,ø,ø
ĩ,ĩ,high,front,unrounded,high-front,high-front-unrounded,,,,,voiced,high-front,high-front-unrounded,ĩ,ĩ
ḭ̃,ǐ,high,front,unrounded,high-front,high-front-unrounded,,,,,voiced,high-front,high-front-unrounded,ĩ,ĩ
ĩ̤,î,high,front,unrounded,high-front,high-front-unrounded,,,,,voiced,high-front,high-front-unrounded,ĩ,ĩ
ẽ,ẽ,mid,front,unrounded,high-front,high-front-unrounded,,,,,voiced,high-front,high-front-unrounded,ẽ,ẽ
ḛ̃,ě,mid,front,unrounded,high-front,high-front-unrounded,,,,,voiced,high-front,high-front-unrounded,ẽ,ẽ
ẽ̤̤,ê,mid,front,unrounded,high-front,high-front-unrounded,,,,,voiced,high-front,high-front-unrounded,ẽ,ẽ
ẽ̞,ẻ,mid,front,unrounded,high-front,high-front-unrounded,,,,,voiced,high-front,high-front-unrounded,ẽ,ẽ
ɛ̃,ᶓ,mid,front,unrounded,low-front,low-front-unrounded,,,,,voiced,low-front,low-front-unrounded,ẽ,ẽ
æ̃,ᶏ,low,front,unrounded,low-front,low-front-unrounded,,,,,voiced,low-front,low-front-unrounded,ã,ã
ã,ã,low,front,unrounded,low-front,low-front-unrounded,,,,,voiced,low-front,low-front-unrounded,ã,ã
ã̰,ǎ,low,front,unrounded,low-front,low-front-unrounded,,,,,voiced,low-front,low-front-unrounded,ã,ã
ã̤̤,â,low,front,unrounded,low-front,low-front-unrounded,,,,,voiced,low-front,low-front-unrounded,ã,ã
ỹ,ỹ,high,front,rounded,high-front,high-front-rounded,,,,,voiced,high-front,high-front-rounded,ỹ,ỹ
ø̃,ⱺ,mid,front,rounded,high-front,high-front-rounded,,,,,voiced,high-front,high-front-rounded,ⱺ,ø̃
ɪ,ɪ,high,front,unrounded,high-front,high-front-unrounded,,,,,voiced,high-front,high-front-unrounded,i,i
