word,category,mean,sd,lwr,upr,word_dim
1PLE,high-back,-0.011552493616225932,0.05979042315815956,-0.13113333993254506,0.10802835270009319,
1PLE,high-front,0.09514287782515844,0.09694128387822093,-0.09873968993128342,0.2890254455816003,
1PLE,low-back,-0.011021232328633633,0.08323441334648711,-0.17749005902160786,0.15544759436434058,
1PLE,low-front,-0.08194582839045421,0.11744147136490031,-0.3168287711202548,0.15293711433934642,
1PLI,high-back,1.7189626581928986e-4,0.06004987015925557,-0.11992784405269186,0.12027163658433043,
1PLI,high-front,0.08485620653095678,0.09708707048220248,-0.10931793443344819,0.27903034749536176,
1PLI,low-back,-3.949217991456297e-4,0.08290343587063458,-0.16620179354041478,0.16541194994212352,
1PLI,low-front,-0.09054870689881336,0.11781381457713054,-0.32617633605307444,0.14507892225544772,
1SG,high-back,-0.03404228743793596,0.062125324982721976,-0.1582929374033799,0.090208362527508,
1SG,high-front,0.03707620601855214,0.0973229791852377,-0.15756975235192328,0.23172216438902754,
1SG,low-back,-0.02829681545718109,0.08373543247897022,-0.19576768041512155,0.13917404950075934,
1SG,low-front,0.008665934766617001,0.1172125418028883,-0.2257591488391596,0.2430910183723936,
2PL,high-back,-0.0285780352272905,0.05991324184156437,-0.14840451891041925,0.09124844845583824,
2PL,high-front,0.1605098800255675,0.09825705424221007,-0.03600422845885265,0.3570239885099876,
2PL,low-back,-0.02570214224724434,0.08261757734945563,-0.1909372969461556,0.1395330124516669,
2PL,low-front,-0.12300753922747923,0.1169504459935813,-0.35690843121464183,0.11089335275968337,
2SG,high-back,-0.038972799763910985,0.059979045942913256,-0.1589308916497375,0.08098529212191552,
2SG,high-front,0.17849018254860416,0.09754280344629951,-0.016595424343994858,0.3735757894412032,
2SG,low-back,-0.033234491545176895,0.08255518655136211,-0.19834486464790113,0.13187588155754731,
2SG,low-front,-0.12664624386295756,0.11710057274652921,-0.360847389356016,0.10755490163010087,
3PL,high-back,0.0038861998564898846,0.05917106765018724,-0.11445593544388459,0.12222833515686436,
3PL,high-front,0.11114868710649418,0.09651128805453146,-0.08187388900256874,0.3041712632155571,
3PL,low-back,0.002213621961560471,0.08185305430397345,-0.16149248664638644,0.16591973056950737,
3PL,low-front,-0.12317920483121779,0.11771404200768554,-0.3586072888465889,0.11224887918415329,
3SG,high-back,-0.027320564039368788,0.06000832725727961,-0.147337218553928,0.09269609047519042,
3SG,high-front,0.119688339062568,0.09782636545216555,-0.07596439184176311,0.3153410699668991,
3SG,low-back,-0.024455709277209216,0.08284195450503556,-0.19013961828728035,0.1412281997328619,
3SG,low-front,-0.0822772940309754,0.11656405800884687,-0.3154054100486691,0.15085082198671834,
above,high-back,0.0020092103102829014,0.060958355817705125,-0.11990750132512734,0.12392592194569316,
above,high-front,-0.017387582876707355,0.09762625883239771,-0.21264010054150279,0.17786493478808807,
above,low-back,8.723846945383324e-4,0.08344351399754062,-0.1660146433005429,0.16775941268961955,
above,low-front,0.006483065084986219,0.11773470315839278,-0.22898634123179934,0.24195247140177178,
afraid,high-back,0.018734183229608792,0.05940938980841071,-0.10008459638721263,0.1375529628464302,
afraid,high-front,0.08743719510980935,0.09649071521275464,-0.10554423531569992,0.2804186255353186,
afraid,low-back,0.01350593347656461,0.08237182777477908,-0.15123772207299355,0.17824958902612278,
afraid,low-front,-0.12173558908144769,0.11828102935929243,-0.35829764780003254,0.11482646963713716,
after,high-back,0.004571391454320913,0.06231409726805001,-0.12005680308177911,0.12919958599042095,
after,high-front,-0.009579081159163364,0.10051212416843569,-0.21060332949603475,0.19144516717770801,
after,low-back,0.002782176051315228,0.08455872204746447,-0.1663352680436137,0.17189962014624416,
after,low-front,-0.004966175940988135,0.12123223431278557,-0.24743064456655928,0.237498292684583,
air,high-back,-0.031958224216926685,0.06679031089436366,-0.165538846005654,0.10162239757180064,
air,high-front,-0.053311853767845606,0.10548508690705405,-0.2642820275819537,0.15765832004626248,
air,low-back,-0.029940873925204916,0.08675167670533764,-0.2034442273358802,0.14356247948547035,
air,low-front,0.09004970630023323,0.12882619359434425,-0.16760268088845526,0.3477020934889217,
all,high-back,0.03403395644413467,0.059473059129333886,-0.0849121618145331,0.15298007470280245,
all,high-front,-0.03606914825355748,0.0970081723098474,-0.23008549287325228,0.15794719636613733,
all,low-back,0.026830543149751508,0.08296427082305612,-0.13909799849636073,0.19275908479586373,
all,low-front,-0.024712510530601015,0.11605930023822138,-0.25683111100704376,0.20740608994584175,
angry,high-back,-0.017919315197882407,0.060887756217016406,-0.1396948276319152,0.1038561972361504,
angry,high-front,0.03282830042230504,0.09891897961670733,-0.16500965881110963,0.23066625965571969,
angry,low-back,-0.017679465203695535,0.08375774353507208,-0.1851949522738397,0.14983602186644862,
angry,low-front,-0.009736780982383316,0.12005474686448196,-0.24984627471134724,0.2303727127465806,
animal,high-back,-0.03835126307902112,0.06304239567816768,-0.16443605443535647,0.08773352827731423,
animal,high-front,-0.04793716152996607,0.0993680839204613,-0.24667332937088868,0.15079900631095652,
animal,low-back,-0.034818626712700494,0.08508606995201619,-0.20499076661673288,0.13535351319133188,
animal,low-front,0.09506020749912815,0.11952126596725206,-0.14398232443537595,0.3341027394336323,
ant,high-back,0.03611864557442368,0.06086236264896716,-0.08560607972351064,0.157843370872358,
ant,high-front,0.09073715973908336,0.10121043418111669,-0.11168370862315002,0.29315802810131675,
ant,low-back,0.028972391739678645,0.08284862677904042,-0.1367248618184022,0.19466964529775949,
ant,low-front,-0.15493164959274253,0.12309802033444774,-0.40112769026163797,0.09126439107615295,
arm_lower,high-back,-0.01627000863826834,0.06194800101762971,-0.14016601067352777,0.10762599339699108,
arm_lower,high-front,-0.08516901178000198,0.09821285086481474,-0.28159471350963144,0.1112566899496275,
arm_lower,low-back,-0.015159460423616974,0.08439511737619156,-0.18394969517600007,0.15363077432876615,
arm_lower,low-front,0.09530091507506583,0.11760533500030872,-0.1399097549255516,0.33051158507568323,
arm_upper,high-back,-0.016781926844662287,0.06150964512971574,-0.13980121710409377,0.10623736341476919,
