word,category,mean,sd,lwr,upr,word_dim
1PLE,alveolar,0.01491163653851517,0.08693004808484939,-0.1589484596311836,0.18877173270821396,
1PLE,glottal,0.008781506232684706,0.09315833370176724,-0.17753516117084978,0.19509817363621917,
1PLE,labial,-0.09177118088693922,0.18228502394328316,-0.4563412287735056,0.2727988669996271,
1PLE,palatal,-0.0036283860579326066,0.20937919906082844,-0.42238678417958947,0.4151300120637243,
1PLE,velar,0.03874454194010035,0.18492414195211418,-0.331103741964128,0.4085928258443287,
1PLI,alveolar,0.020718342992177025,0.08632301369042343,-0.15192768438866983,0.1933643703730239,
1PLI,glottal,0.013848464537830072,0.09358783096193977,-0.1733271973860495,0.2010241264617096,
1PLI,labial,-0.09397051394347064,0.18091783282628496,-0.45580617959604053,0.2678651517090993,
1PLI,palatal,0.0010278850525760924,0.2096076117758291,-0.4181873384990821,0.4202431086042343,
1PLI,velar,0.0252962189348804,0.18536001959433257,-0.34542382025378476,0.3960162581235455,
1SG,alveolar,0.0520358530123403,0.08519500059471317,-0.11835414817708605,0.22242585420176664,
1SG,glottal,0.03925095762514809,0.09245701686581945,-0.14566307610649082,0.22416499135678697,
1SG,labial,-0.21867033446025388,0.1803207984616166,-0.5793119313834871,0.14197126246297934,
1SG,palatal,0.03185629935267477,0.2087250719348936,-0.3855938445171124,0.44930644322246194,
1SG,velar,0.06514669679395649,0.18499408075310453,-0.3048414647122526,0.4351348583001655,
2PL,alveolar,-0.030857388711849634,0.08792181780703033,-0.2067010243259103,0.144986246902211,
2PL,glottal,-0.023503222039286346,0.0945158728699348,-0.21253496777915595,0.16552852370058327,
2PL,labial,0.054639526149479034,0.1810180146298713,-0.30739650311026356,0.41667555540922163,
2PL,palatal,-0.0363066141640881,0.21035182065031757,-0.45701025546472324,0.38439702713654705,
2PL,velar,-0.011253601168585805,0.1866929461899226,-0.384639493548431,0.3621322912112594,
2SG,alveolar,-0.03211140709737141,0.08767670796649313,-0.20746482303035768,0.14324200883561483,
2SG,glottal,-0.01709813846361547,0.09487286421933606,-0.2068438669022876,0.17264758997505666,
2SG,labial,0.06339814786430503,0.1811179928886978,-0.29883783791309054,0.4256341336417006,
2SG,palatal,-0.03392901364922499,0.20991988524210528,-0.4537687841334356,0.38591075683498555,
2SG,velar,-0.02674043208801595,0.18693251111398848,-0.4006054543159929,0.347124590139961,
3PL,alveolar,0.02363015186723389,0.08591839126682037,-0.14820663066640685,0.19546693440087462,
3PL,glottal,0.017928503439105216,0.09301603112066709,-0.16810355880222896,0.20396056568043938,
3PL,labial,-0.07151567255746327,0.18091709541203396,-0.4333498633815312,0.29031851826660465,
3PL,palatal,0.0010440160773098673,0.20945511782519843,-0.417866219573087,0.41995425172770673,
3PL,velar,-0.006839610476015599,0.18565838718724612,-0.37815638485050784,0.3644771638984766,
3SG,alveolar,0.04461298162971149,0.08538813547406696,-0.1261632893184224,0.2153892525778454,
3SG,glottal,0.03735955766340513,0.09269360596327648,-0.14802765426314785,0.2227467695899581,
3SG,labial,-0.12911355133192629,0.18246984361614052,-0.49405323856420735,0.23582613590035476,
3SG,palatal,0.020935240817805553,0.20937839706948613,-0.3978215533211667,0.43969203495677783,
3SG,velar,-0.006328921896420671,0.18544000250293616,-0.37720892690229296,0.36455108310945167,
DD_fs,alveolar,-0.015904189586914343,0.08803050256832566,-0.19196519472356566,0.16015681554973699,
DD_fs,glottal,-0.01615991846405971,0.09473449051574262,-0.20562889949554494,0.17330906256742554,
DD_fs,labial,0.019722377870523635,0.18381606508123363,-0.34790975229194365,0.3873545080329909,
DD_fs,palatal,-0.02697899210302738,0.20998806944290271,-0.4469551309888328,0.39299714678277803,
DD_fs,velar,-0.00502676161763859,0.18729899510769116,-0.3796247518330209,0.3695712285977437,
DD_ms,alveolar,-0.01777346183459008,0.08745852922215445,-0.192690520278899,0.15714359660971883,
DD_ms,glottal,-0.01897301127546567,0.09383311684137449,-0.20663924495821465,0.16869322240728332,
DD_ms,labial,0.03335245199475078,0.18309742596927334,-0.3328423999437959,0.39954730393329746,
DD_ms,palatal,-0.027811291346209382,0.21079744123627525,-0.4494061738187599,0.3937835911263411,
DD_ms,velar,-0.015420325578676425,0.1867647854669832,-0.3889498965126428,0.35810924535529,
DS_fs,alveolar,-0.024412466766806522,0.08816608120043475,-0.20074462916767602,0.15191969563406296,
DS_fs,glottal,-0.02229126842108281,0.09433314816440737,-0.21095756474989755,0.16637502790773193,
DS_fs,labial,0.045440094599703655,0.1830887288813437,-0.32073736316298374,0.41161755236239106,
DS_fs,palatal,-0.03266362601983076,0.2102628216070428,-0.45318926923391634,0.38786201719425484,
DS_fs,velar,-0.013669756452206238,0.18644454010452172,-0.3865588366612497,0.3592193237568372,
DS_ms,alveolar,-0.02658546398052631,0.08799912729341247,-0.20258371856735125,0.14941279060629864,
DS_ms,glottal,-0.02472179842519332,0.09402422992960059,-0.2127702582843945,0.16332666143400787,
DS_ms,labial,0.05433355922199174,0.18338467173216216,-0.3124357842423326,0.42110290268631606,
DS_ms,palatal,-0.03353174454542761,0.21097470257340023,-0.4554811496922281,0.38841766060137284,
DS_ms,velar,-0.018617203329431568,0.18593047058440434,-0.39047814449824025,0.3532437378393771,
D_fs,alveolar,-0.0024901404768990472,0.08711153258463378,-0.1767132056461666,0.1717329246923685,
D_fs,glottal,-0.005698581648065766,0.09406437518942537,-0.19382733202691652,0.18243016873078496,
D_fs,labial,-6.46983286099054e-4,0.18179168834093154,-0.36423035996796216,0.362936393395764,
