"","word","group","fit","lwr","upr","word_caps","nLangs","nRegions","cardinal","topCardinal","fitProp_fit","fitProp_lwr","fitProp_upr","obs","obs_OR"
"2507","fly_n","stop+voice",-5.71188551171843,-5.71208342212539,-5.71168639287974,"FLY_N",60,6,"dg","g",0.00948024932313033,0.00947958492868631,0.00948072484837382,0.120834557990247,0.19394574374569
"2508","fly_v","stop+voice",-1.96690176004038,-1.96716103857539,-1.96630440268358,"FLY_V",59,6,"g","g",0.00326425969667799,0.00326409961553603,0.00326448661416856,0.127095527765331,0.277136792886957
"2509","FM_fs","stop+voice",-3.60164480127306,-3.60214964848587,-3.60151795727511,"FM_FS",47,6,"g","g",0.00335896760328752,0.00335881279730125,0.00335902091897977,0.109594227070972,0.0347561651569159
"2510","FM_ms","stop+voice",-6.03090995168372,-6.03104593799937,-6.03049289466068,"FM_MS",47,6,"g","g",0.00497419528373832,0.00497359653975003,0.00497450305318994,0.109594227070972,0.0347561651569159
"2511","FoB_fs","stop+voice",-3.87993372164421,-3.88036681724894,-3.87973447258463,"FOB_FS",52,6,"ɟdg","ɟ",0.00311002210416852,0.00310992098502779,0.00311031554328502,0.118874992511028,0.167145843560103
"2512","FoB_ms","stop+voice",-15.1461449889716,-15.146278405981,-15.1459444812158,"FOB_MS",50,6,"ɟdg","ɟ",0.00308073528658436,0.00308052713683941,0.00308091061412233,0.115872002027691,0.125324069994294
"2513","foot","stop+voice",-4.26299821665069,-4.26306501654515,-4.26267770129606,"FOOT",57,6,"b","b",0.00083335757445031,0.000833266325854443,0.000833421930325672,0.117451551046379,0.147437591706432
"2514","four","stop+voice",-3.57587451775446,-3.57600827190777,-3.57564655022752,"FOUR",53,6,"ɟdb","ɟ",0.00397365308161246,0.00397325074160655,0.00397399805078845,0.0957670635265012,-0.182045691823216
"2515","FoZ_fs","stop+voice",-14.8068203993789,-14.8069897083883,-14.8064786105609,"FOZ_FS",42,6,"ɟgd","ɟ",0.00121007877575468,0.00121003663163782,0.00121012416087475,0.0850802668762359,-0.369701410068164
"2516","FoZ_ms","stop+voice",0.57347809970871,0.572994778757057,0.573620221831951,"FOZ_MS",42,6,"b","b",0.00318033530178383,0.00318030120040981,0.00318061261218949,0.0850802668762359,-0.369701410068164
"2517","full","stop+voice",-3.60719922722088,-3.60751323771437,-3.60669061483053,"FULL",57,6,"g","g",0.00505134403952997,0.00505115699927521,0.00505149719830355,0.140913608680076,0.449055033287484
"2518","FyB_fs","stop+voice",-4.17051199293034,-4.17064636360348,-4.17027520766004,"FYB_FS",55,6,"ɟdg","ɟ",0.00470504470230937,0.00470486725240792,0.00470526775660315,0.117221725461924,0.144236159617142
