"","word","group","fit","lwr","upr","word_caps","nLangs","nRegions","cardinal","topCardinal","fitProp_fit","fitProp_lwr","fitProp_upr","obs","obs_OR"
"515","MM_fs","lateral",-0.842920967248229,-0.843017127384391,-0.84274834017895,"MM_FS",16,5,"ɬlʎ","ɬ",0.00869967522966946,0.0086983052244205,0.00869976223145149,0.0244823675788077,-1.19441091978046
"516","MM_ms","lateral",1.28188284665376,1.28169731377736,1.28203899262559,"MM_MS",16,5,"","",0.00279661311040683,0.00279625646327753,0.00279700647441199,0.0244823675788077,-1.19441091978046
"517","MoB_fs","lateral",-1.31849513686829,-1.31887919575567,-1.31820381143218,"MOB_FS",22,6,"ʎɬl","ʎ",0.0901109284366357,0.090106127718342,0.0901185961447949,0.0370932972764149,-0.576223554839783
"518","MoB_ms","lateral",-0.259451405280319,-0.259522152640283,-0.259330095029826,"MOB_MS",22,6,"ʎɬl","ʎ",0.024316583842977,0.0243141711064444,0.0243182044058956,0.038401585717454,-0.52425468293464
"519","moon","lateral",-0.202752165472839,-0.202941372516764,-0.202617577313934,"MOON",49,6,"","",0.0713281443194708,0.0713193608844127,0.0713320736612035,0.0702365218469662,0.395371595426089
"520","mountain","lateral",-1.92268727543201,-1.92293117775758,-1.92260763876723,"MOUNTAIN",43,6,"ʎ","ʎ",0.108965486112945,0.108950990851509,0.108966946150235,0.0722033632910546,0.438271372833517
"521","mouth","lateral",1.36271196428824,1.36246180137909,1.36286478547653,"MOUTH",27,5,"","",0.0210185373845016,0.0210147340933592,0.0210214608683356,0.0480214643177413,-0.187235700413686
"522","MoZ_fs","lateral",-1.23681082857702,-1.23707617594194,-1.23623759860536,"MOZ_FS",23,6,"ʎɬl","ʎ",0.0906878837513393,0.0906826370799563,0.0906920008465078,0.0462243182545405,-0.244984008407809
"523","MoZ_ms","lateral",-0.0543083455707895,-0.0544662373065236,-0.0540555548810537,"MOZ_MS",23,6,"ʎɬl","ʎ",0.00818875085103542,0.00818827183707069,0.00819068105457008,0.0462243182545405,-0.244984008407809
"524","MyB_fs","lateral",-1.02514240462449,-1.02543894375321,-1.02501795788797,"MYB_FS",21,6,"ʎɬl","ʎ",0.0560319658831908,0.0560311797115362,0.0560376542505203,0.0340549193471735,-0.704064002100117
"525","MyB_ms","lateral",1.26330274178484,1.26306564935,1.26345232648297,"MYB_MS",21,6,"","",0.0884707661277227,0.0884619807148144,0.0884762369129863,0.0353491412237254,-0.648317759459425
"526","MyZ_fs","lateral",-0.136680673066823,-0.137014129361056,-0.136563711994289,"MYZ_FS",23,6,"ʎɬl","ʎ",0.0917832209540323,0.0917786884073695,0.0917909190544195,0.045092202033231,-0.282469526153753
"527","MyZ_ms","lateral",-0.560411750152022,-0.560532278246839,-0.560090030170392,"MYZ_MS",23,6,"ʎɬl","ʎ",0.0865437111317467,0.0865397734698244,0.0865465291597944,0.045092202033231,-0.282469526153753
"528","name","lateral",-0.131886024201528,-0.132070571370985,-0.131485741290675,"NAME",26,5,"ʎl","ʎ",0.137790241522939,0.137773884342887,0.137791945380202,0.050696385976228,-0.104972722279803
"529","narrow","lateral",-0.381177722144675,-0.381304849493251,-0.380936340943418,"NARROW",28,6,"ʎɬl","ʎ",0.0856479940907099,0.0856378516569891,0.0856585486738682,0.0510611012681254,-0.094076594218203
"530","navel","lateral",-3.2189510772097,-3.21917302881029,-3.21867604610588,"NAVEL",45,6,"ɬʎ","ʎ",0.0905038271883342,0.0904951523696345,0.0905112479809131,0.0762911946142558,0.524092381301202
"531","near","lateral",-0.796647696813142,-0.797165624507366,-0.796587365744385,"NEAR",40,6,"","",0.0900159318891669,0.0900057743580683,0.0900182912664414,0.0755727400633284,0.509320077314544
"532","neck","lateral",-0.00827652177862952,-0.0085604434430842,-0.00799759137780439,"NECK",38,6,"l","l",0.119668046149417,0.119663460223039,0.119677970438602,0.0600758123963713,0.154253804877981
"533","new","lateral",-0.549936507682212,-0.5505068153363,-0.549877191756848,"NEW",29,6,"ɬl","ɬ",0.0523892719144305,0.0523875855129099,0.0524005187595417,0.0539746737055484,-0.00958224150108408
"534","night","lateral",-2.03719115125548,-2.03738700764859,-2.03684496053024,"NIGHT",25,6,"ʎl","ʎ",0.0283037859933245,0.0283024570438739,0.0283091602309401,0.0388140228824031,-0.508223683183149
